filenames,N.electron,M.nuclei,M.protons,Nuclei.Distance.Average,Nuclei.Gaussian.Distance.Average,Nuclei.Gaussian.Standard.Deviation,Nuclei.Distance.Average.Proton.Weighted,Nuclei.Distance.Proton.Weighted.Max,Nuclei.Distance.Proton.Weighted.Min,Centroid.average.dist.from.atoms,CentroidW.average.dist.from.atoms,Centroid.dist.from.High.e,Centroid.dist.from.low.e,Centroid.dist.from.High.e2,Centroid.dist.from.low.e2,M.protonsarray.q0,M.protonsarray.q1,M.protonsarray.q2,M.protonsarray.q3,M.protonsarray.q4,M.protonsarray.q5,M.protonsarray.q6,M.protonsarray.q7,M.protonsarray.q8,M.protonsarray.q9,M.protonsarray.q10,Nuclei.Distance.10.Proton.Weighted.Normalized,Nuclei.Distance.20.Proton.Weighted.Normalized,Nuclei.Distance.30.Proton.Weighted.Normalized,Nuclei.Distance.40.Proton.Weighted.Normalized,Nuclei.Distance.50.Proton.Weighted.Normalized,Nuclei.Distance.60.Proton.Weighted.Normalized,Nuclei.Distance.70.Proton.Weighted.Normalized,Nuclei.Distance.80.Proton.Weighted.Normalized,Nuclei.Distance.90.Proton.Weighted.Normalized,Nuclei.Distance.100.Proton.Weighted.Normalized,Nuclei.Distance.Proton.Weighted.Q0,Nuclei.Distance.Proton.Weighted.Q1,Nuclei.Distance.Proton.Weighted.Q2,Nuclei.Distance.Proton.Weighted.Q3,Nuclei.Distance.Proton.Weighted.Q4,Nuclei.Distance.Proton.Weighted.Q5,Nuclei.Distance.Proton.Weighted.Q6,Nuclei.Distance.Proton.Weighted.Q7,Nuclei.Distance.Proton.Weighted.Q8,Nuclei.Distance.Proton.Weighted.Q9,Nuclei.Distance.Proton.Weighted.Q10,Centroid.average.dist.from.atoms.q0,Centroid.average.dist.from.atoms.q1,Centroid.average.dist.from.atoms.q2,Centroid.average.dist.from.atoms.q3,Centroid.average.dist.from.atoms.q4,Centroid.average.dist.from.atoms.q5,Centroid.average.dist.from.atoms.q6,Centroid.average.dist.from.atoms.q7,Centroid.average.dist.from.atoms.q8,Centroid.average.dist.from.atoms.q9,Centroid.average.dist.from.atoms.q10,CentroidW.average.dist.from.atoms.q0,CentroidW.average.dist.from.atoms.q1,CentroidW.average.dist.from.atoms.q2,CentroidW.average.dist.from.atoms.q3,CentroidW.average.dist.from.atoms.q4,CentroidW.average.dist.from.atoms.q5,CentroidW.average.dist.from.atoms.q6,CentroidW.average.dist.from.atoms.q7,CentroidW.average.dist.from.atoms.q8,CentroidW.average.dist.from.atoms.q9,CentroidW.average.dist.from.atoms.q10,ElecDenSurMxq0,ElecDenSurMxq1,ElecDenSurMxq2,ElecDenSurMxq3,ElecDenSurMxq4,ElecDenSurMxq5,ElecDenSurMxq6,ElecDenSurMxq7,ElecDenSurMxq8,ElecDenSurMxq9,ElecDenSurMxq10,ColumbMatrix.1,ColumbMatrix.2,ColumbMatrix.3,ColumbMatrix.4,ColumbMatrix.5,ColumbMatrix.6,ColumbMatrix.7,ColumbMatrix.8,ColumbMatrix.9,ColumbMatrix.10,ColumbMatrix.11,ColumbMatrix.12,ColumbMatrix.13,ColumbMatrix.14,ColumbMatrix.15,ColumbMatrix.16,ColumbMatrix.17,ColumbMatrix.18,ColumbMatrix.19,ColumbMatrix.20,ColumbMatrix.21,ColumbMatrix.22,ColumbMatrix.23,ColumbMatrix.24,ColumbMatrix.25,Elec_Den_Surg2_Mx.1,Elec_Den_Surg2_Mx.2,Elec_Den_Surg2_Mx.3,Elec_Den_Surg2_Mx.4,Elec_Den_Surg2_Mx.5,Elec_Den_Surg2_Mx.6,Elec_Den_Surg2_Mx.7,Elec_Den_Surg2_Mx.8,Elec_Den_Surg2_Mx.9,Elec_Den_Surg2_Mx.10,Elec_Den_Surg2_Mx.11,Elec_Den_Surg2_Mx.12,Elec_Den_Surg2_Mx.13,Elec_Den_Surg2_Mx.14,Elec_Den_Surg2_Mx.15,Elec_Den_Surg2_Mx.16,Elec_Den_Surg2_Mx.17,Elec_Den_Surg2_Mx.18,Elec_Den_Surg2_Mx.19,Elec_Den_Surg2_Mx.20,Elec_Den_Surg2_Mx.21,Elec_Den_Surg2_Mx.22,Elec_Den_Surg2_Mx.23,Elec_Den_Surg2_Mx.24,Elec_Den_Surg2_Mx.25,Theory.Basis.set,Energy,Chemical.Formula,CAS.number,Charge,Chemical.Name
MdlMolFile_12254681_1_1_8_4_345509,18,2,19,1.2936,1.2936,NA,24.5784,24.5784,24.5784,0.6468,0.6468,0.41835024,0.41835024,0.41835024,0.41835024,1,2.7,4.4,6.1,7.8,9.5,11.2,12.9,14.6,16.3,18,0,0,0,0,0,0,0,0,0,1,24.5784,24.5784,24.5784,24.5784,24.5784,24.5784,24.5784,24.5784,24.5784,24.5784,24.5784,0.6468,0.6468,0.6468,0.6468,0.6468,0.6468,0.6468,0.6468,0.6468,0.6468,0.6468,0.068084211,0.183827368,0.299570526,0.415313684,0.531056842,0.6468,0.762543158,0.878286316,0.994029474,1.109772632,1.225515789,14.68769326,14.68769326,14.68769326,14.68769326,14.68769326,14.68769326,14.68769326,14.68769326,14.68769326,14.68769326,14.68769326,515.9269867,-0.644199909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.30544918,-7.305449184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-527.6625527,ArH+,12254681,1,Argon_hydride_cation+
MdlMolFile_1120623_0_1_8_4_163121,46,16,46,2.905020331,2.905020331,1.085179128,15.32168016,45.54340107,3.517212965,2.036149266,2.042138631,4.138668361,5.459614119,5.459614119,4.138668361,1,1,1,1,1,1,1,6,6,6,6,5,42,8,21,17,10,13,2,0,2,3.517212965,5.288085599,6.997886643,7.757378885,9.46242688,15.15619386,16.05132084,20.15847639,23.71807363,28.74770241,45.54340107,0.780185173,1.22333042,1.726003936,1.754878192,1.799397726,2.058966479,2.317929268,2.446674675,2.639821239,2.746455563,2.854440254,0.862161853,1.20413677,1.640108741,1.742261799,1.815339404,2.151257873,2.241780664,2.458135114,2.580001318,2.777954794,2.867333421,0.364934568,0.48969062,0.656456579,0.806081954,1.553654196,2.060526812,2.418346663,3.176598809,3.279906087,6.382066269,8.967439976,206.8516213,28.35763884,25.46134269,23.39789485,21.9768122,18.05810113,-1.593267414,-1.667179272,-1.956050353,-2.04110939,-2.263726682,-2.562043724,-4.401354254,-6.992599382,-19.93835166,-54.53909765,0,0,0,0,0,0,0,0,0,8.364187297,6.057726037,5.8419347,5.579926248,5.360555008,5.306181587,1.019700384,0.990742024,0.967522509,0.954599286,0.944374479,0.934120245,0.925829784,0.92065047,0.919847961,0.912101981,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-234.6645758,C6H10,1120623,0,"Cyclopentene,_3-methyl-"
MdlMolFile_7803498_0_1_8_4_288164,18,5,18,1.703461306,1.703461306,0.595224011,11.077809,21.699,3.2644,1.084676542,1.106769664,0.854433735,1.532088965,0.274752183,0.274752183,1,1,1,1,1,1,3.4,5.8,7.2,7.6,8,0,1,2,2,1,0,0,1,2,1,3.2644,4.934317377,5.119863752,7.24967321,8.162448691,8.430298742,11.32439041,15.9778515,17.64408174,18.04957357,21.699,0.524168087,0.684243192,0.844318296,0.987039842,1.112407828,1.237775814,1.237775814,1.237775814,1.29008208,1.394694613,1.499307145,0.707897865,0.720274468,0.732651072,0.860300196,1.10322184,1.346143484,1.35587961,1.365615737,1.3704838,1.3704838,1.3704838,0.78127079,0.78127079,1.136526184,3.302660019,4.431640688,4.59077447,5.890778424,7.840784355,8.13509275,9.418007838,10.36914144,94.50384375,44.11917564,-2.1322,-2.93235356,-5.183063717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.63411786,5.230376841,0.693664992,0.510437501,-0.068597193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-131.730435,NH2OH,7803498,0,hydroxylamine
MdlMolFile_106945_0_1_8_4_57196,60,11,60,2.501978043,2.501978043,0.928454285,32.0965033,183.2275882,3.5192,1.704130392,2.254061254,8.689878333,3.543271903,1.8587573,1.8587573,1,1,1,1,1,1,1,6,6,6,35,38,7,0,0,3,0,3,0,0,4,3.5192,5.016212866,5.218887645,6.213886562,7.636825447,7.672520927,15.2459719,18.38756668,25.45810589,110.2156715,183.2275882,0.593090445,1.212472147,1.363362498,1.523215937,1.523215937,1.779617517,1.779617517,1.88235807,1.88235807,2.258266215,2.947859958,0.837815,1.29459676,1.659500143,1.659500143,1.664264791,2.029104352,2.029104352,3.014796953,3.391604717,3.391604717,3.822781868,0.525903072,0.648487692,0.788334627,1.124585512,2.306561867,3.196974803,3.23666059,6.388443388,7.209960585,10.86108428,20.75886702,2591.849134,87.80458774,25.38781235,24.78968749,-1.703222634,-1.732041556,-1.927938472,-3.375935809,-6.090186662,-13.89839003,-47.61635301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.53771683,7.553103577,5.580352665,5.143748497,0.933407776,0.927388155,0.914825778,0.879279035,0.874320045,0.871940007,0.783917638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-2690.279874,CH3CH2CH2Br,106945,0,n-propyl_bromide
MdlMolFile_96548_0_1_8_4_54148,44,13,44,2.86908323,2.86908323,1.162025591,17.58385527,43.69848941,3.544000051,1.984544136,1.997394857,0.187629998,4.455241568,1.392088725,1.392088725,1,1,1,1,1,1,6,6,6,6,7,3,19,6,14,9,8,15,2,0,2,3.544000051,6.140058032,7.600945944,9.791404802,15.70465688,17.0165875,19.00553176,23.14823405,27.01695036,29.38948619,43.69848941,0.433162785,1.17986846,1.441335501,1.833533881,1.872119344,2.110742826,2.183482281,2.47933711,2.48669906,2.812549848,2.894011296,0.627292049,1.133838557,1.342400977,1.655243088,1.992864208,2.125686574,2.231608199,2.659229873,2.665146983,2.711611061,2.723225836,0.3740426,0.469788004,0.75272789,1.627773331,2.103155307,2.372332396,3.115438899,3.736650577,5.338615631,6.475339817,9.441376263,176.0831766,38.67507282,28.22246132,25.47528983,19.50586859,16.04023118,-1.968397849,-2.137265239,-2.28389786,-2.467243018,-10.71084834,-16.15514079,-27.13007384,0,0,0,0,0,0,0,0,0,0,0,0,9.369261735,6.299354588,5.770903147,5.669752629,5.288493556,5.129287452,0.971993237,0.945109178,0.926574572,0.91529885,0.912403869,0.905219493,0.896347695,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-249.500089,C5H7N,96548,0,"1H-Pyrrole,_1-methyl-"
MdlMolFile_1981802_0_1_8_4_181490,23,8,23,2.334354406,2.334354406,0.918075827,12.02373014,29.556,3.710731491,1.565673577,1.563066225,1.543809001,3.251957721,3.251957721,1.543809001,1,1,1,1,1,1,2,5.5,6,6,6,0,5,10,0,0,8,2,0,2,1,3.710731491,4.915689303,6.201530469,7.593239794,7.625483035,8.153084137,14.91791802,15.13476047,16.6566934,20.71573427,29.556,0.475425,1.012378275,1.242501107,1.274793496,1.500840221,1.684371765,1.80331853,1.80331853,2.039197214,2.196449671,2.196449671,0.4438,1.006105902,1.247094146,1.275764732,1.476458829,1.679587444,1.825374888,1.825374888,2.044747475,2.190995867,2.190995867,0.462791559,0.608098732,0.786955898,1.077954578,2.036028888,2.889391131,3.240551464,3.295851046,6.433457726,6.454447292,8.645173237,99.2148482,25.5424948,24.81122294,-1.313259229,-1.810150775,-3.542635165,-14.25396634,-15.57423882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.808278776,5.462577541,4.631127379,0.880347684,0.844557969,0.82296629,0.820862892,0.72928147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-117.2758212,C3H5,1981802,0,Allyl_radical
MdlMolFile_616217_0_1_8_4_139832,66,14,66,2.896984134,2.896984134,1.133178233,28.19331408,148.6364181,3.523716572,2.005338978,2.078901199,8.55903911,2.239486005,3.947609655,3.947609655,1,1,1,1,1,1,5,6,6,13.7,17,37,22,11,7,6,4,2,1,0,1,3.523716572,5.071635921,6.238602154,7.672274055,14.8298607,15.26552272,19.82973814,33.14389026,50.5703983,66.98453275,148.6364181,0.745185046,0.997042085,1.503622027,1.554222549,1.962934019,2.113750588,2.354892802,2.410336275,2.591839527,2.821143728,2.92558355,0.37620135,1.32020735,1.387501176,1.847453012,1.916430539,2.035064592,2.113199398,2.513388756,2.780814377,3.017502384,3.512753473,0.35528727,0.641169272,0.788700148,1.135165079,2.47103616,3.221542145,3.432525763,6.068876428,6.406004589,7.604167697,12.63119726,607.3984795,366.1967327,84.89906598,25.14668139,23.20252717,16.66567144,-0.302886861,-1.85922309,-1.999594349,-2.40068833,-4.070706057,-4.868711832,-7.062563798,-51.92359107,0,0,0,0,0,0,0,0,0,0,0,18.18743957,16.4167362,7.308285187,5.93771564,5.46282731,5.287509662,0.986115192,0.952625398,0.938107706,0.919334867,0.911448545,0.904692545,0.901718767,0.885443413,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-1077.66703,C4H8Cl2,616217,0,"Butane,_1,2-dichloro-"
MdlMolFile_431038_0_1_8_4_109905,46,12,46,2.886625594,2.886625594,1.227601231,20.57910705,55.49030906,3.5016,2.018612904,2.018612904,3.00700625,5.77946921,3.9287485,3.9287485,1,1,1,1,1,3.5,6,6,6,7.8,8,6,14,7,9,8,12,6,2,1,1,3.5016,7.633404355,8.95602059,10.53275686,15.01524738,20.0029453,24.69763412,28.08936199,31.28900558,33.7253847,55.49030906,0.777144774,0.872837513,1.734072158,1.808482637,1.982107086,2.193079875,2.404052664,2.404052664,2.404052664,2.769628535,2.810248076,0.777144774,0.872837513,1.734072158,1.808482637,1.982107086,2.193079875,2.404052664,2.404052664,2.404052664,2.769628535,2.810248076,0.355840471,0.431295599,1.142334933,1.64007483,2.449639254,2.955367809,3.263349498,4.064247962,5.811646087,6.404924408,11.495522,234.1414931,42.35369867,42.20265139,33.74237645,22.81391666,22.44011151,-1.920704967,-2.042419795,-2.580895033,-5.690541639,-40.99853366,-46.99534243,0,0,0,0,0,0,0,0,0,0,0,0,0,10.22853577,7.705745421,6.260810753,5.951993323,5.314668326,5.071361267,0.968472279,0.909426661,0.899049006,0.898938885,0.897634459,0.893363855,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-306.4993372,C4H6O2,431038,0,"2,3-Butanedione"
MdlMolFile_151519_0_1_8_4_90503,22,5,22,2.081860993,2.081860993,0.994235038,16.70393789,34.258,7.529988738,1.293667265,1.274582607,1.561600398,3.651340294,NA,NA,1,1,1,2,4,6,6.4,6.8,7,7,7,0,0,3,2,2,0,0,2,0,1,7.529988738,8.05469825,8.112999307,11.94760752,13.59101105,14.77855313,15.96609521,18.66294351,24.95558953,25.88583058,34.258,0.14736,0.588272043,1.029184086,1.249640107,1.249640107,1.249640107,1.514123287,1.778606466,1.910848056,1.910848056,1.910848056,0.024818182,0.505391009,0.985963836,1.22625025,1.22625025,1.22625025,1.514869021,1.803487792,1.947797178,1.947797178,1.947797178,0.531209294,2.361221082,2.564555725,3.293093604,3.605324124,4.663307751,6.588204653,7.888574567,8.427845651,10.58492999,10.58492999,99.29750904,34.79066851,28.9200024,-8.60670447,-9.825955478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9125208,5.92027047,3.358313005,0.516604362,0.292291367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-148.7958231,HNCNH,151519,0,diiminomethane
MdlMolFile_9000360_1_1_8_4_297435,32,7,33,2.159598786,2.159598786,0.812909855,18.73055185,35.62133732,6.610045767,1.368649461,1.368649461,1.6520549,3.64104242,NA,NA,1,1,1,1,3,6,7.2,8,8,8,8,0,3,3,3,0,6,0,3,0,3,6.610045767,6.61013661,8.813687088,13.357061,13.35724457,17.99452029,21.05046438,21.05119805,27.66631119,35.6192,35.62133732,7.94E-18,0.771193727,1.285322878,1.285322878,1.285353727,1.2854,1.659050943,1.908155478,1.908167197,1.90817378,1.908177796,1.68E-18,0.771193727,1.285322878,1.285322878,1.285353727,1.2854,1.659050943,1.908155478,1.908167197,1.90817378,1.908177796,0.605131215,0.605139532,2.92774846,3.668421263,3.668471679,3.847792275,7.186703793,7.187135028,9.190251389,10.89155127,10.89220479,155.802941,51.61951645,51.6187629,29.81338174,-7.717425844,-7.718172727,-14.5108142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.46907419,6.828250885,6.828136944,4.280906183,0.623236665,0.62321393,0.347181201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-265.324447,H3CO3+,9000360,1,"carbonic_acid,_protonated+"
MdlMolFile_12033566_0_1_8_4_325941,23,2,23,1.5087,1.5087,NA,34.7001,34.7001,34.7001,0.75435,0.75435,0.569043923,0.569043923,0.569043923,0.569043923,7,7.9,8.8,9.7,10.6,11.5,12.4,13.3,14.2,15.1,16,0,0,0,0,0,0,0,0,0,1,34.7001,34.7001,34.7001,34.7001,34.7001,34.7001,34.7001,34.7001,34.7001,34.7001,34.7001,0.75435,0.75435,0.75435,0.75435,0.75435,0.75435,0.75435,0.75435,0.75435,0.75435,0.75435,0.459169565,0.518205652,0.577241739,0.636277826,0.695313913,0.75435,0.813386087,0.872422174,0.931458261,0.990494348,1.049530435,15.24491284,15.24491284,15.24491284,15.24491284,15.24491284,15.24491284,15.24491284,15.24491284,15.24491284,15.24491284,15.24491284,390.8961586,50.4859898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.39519951,-4.39519951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-452.8642214,NS,12033566,0,Mononitrogen_monosulfide
MdlMolFile_558214_0_1_8_4_127149,18,5,18,1.616005692,1.616005692,0.405534995,11.56574503,20.9895,3.591585416,0.950761758,1.139567691,1.762946618,1.250306158,0.005117972,0.005117972,1,1,1,1,1,1,3,5,6.6,7.8,9,0,3,0,3,0,0,0,0,0,4,3.591585416,3.591585416,3.591597083,6.435091869,7.653748009,7.653759187,12.7165071,20.31063541,20.31065046,20.37853541,20.9895,0.07154,0.490190798,0.908841596,1.118167775,1.118169337,1.118170898,1.118170898,1.118170898,1.160088719,1.243924359,1.32776,0.641783333,0.688076667,0.73437,0.892582157,1.162713139,1.43284412,1.432845339,1.432846558,1.432847167,1.432847167,1.432847167,1.113709767,1.113713837,1.11371429,3.780581949,4.923525232,4.923527837,5.514951383,6.402082794,6.402087469,6.833860106,10.71964554,113.9630356,32.59256351,-2.295790277,-2.2958,-6.072803918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.63852112,4.771949806,0.721572558,0.721571051,0.146385466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-139.7551584,CD3F,558214,0,methylfluoride-d3
MdlMolFile_7637072_-1_1_8_4_242352,33,4,32,1.82060817,1.82060817,0.534391526,30.10539169,41.55224377,18.6587313,0.999583261,0.999583261,1.7762666,0,NA,1.7762666,5,6.2,7.4,8.6,9,9,9,9,9,9,9,0,0,0,0,3,0,0,0,0,3,18.6587313,18.6587313,18.6587313,18.65896565,18.6592,30.1052,41.5512,41.55172189,41.55224377,41.55224377,41.55224377,0,0.399829956,0.799659913,1.199489869,1.332766521,1.332766521,1.332766521,1.332769869,1.332779913,1.332789956,1.3328,0,0.399829956,0.799659913,1.199489869,1.332766521,1.332766521,1.332766521,1.332769869,1.332779913,1.332789956,1.3328,7.797412861,7.797412861,7.797412861,7.797510797,7.797608733,9.150905207,10.50420168,10.50433361,10.50446554,10.50446554,10.50446554,162.3957586,67.75749975,67.7568039,18.48491123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.74927885,6.578686481,6.578597008,2.093437662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-324.5510758,BF3-,7637072,-1,"Borane,_trifluoro-_anion-"
MdlMolFile_56235_0_1_8_4_4536,74,5,74,2.474000254,2.474000254,0.586095349,76.22672506,99.55158382,41.23943691,1.434415197,1.434415197,3.21491712,0,NA,3.21491712,6,10.4,14.8,17,17,17,17,17,17,17,17,0,0,0,0,4,0,0,0,0,6,41.23943691,41.23943691,41.23943691,41.23943691,76.22672506,99.55158382,99.55158382,99.55158382,99.55158382,99.55158382,99.55158382,0,0.717207598,1.434415197,1.793018996,1.793018996,1.793018996,1.793018996,1.793018996,1.793018996,1.793018996,1.793018996,0,0.717207598,1.434415197,1.793018996,1.793018996,1.793018996,1.793018996,1.793018996,1.793018996,1.793018996,1.793018996,11.6120704,11.6120704,11.6120704,11.6120704,11.6120704,11.6120704,12.09825313,12.82752723,12.82752723,12.82752723,12.82752723,654.1149049,382.0185941,382.0185941,382.0185941,31.86496204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.61241968,14.0969824,14.0969824,14.0969824,4.096633124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-1878.859797,CCl4,56235,0,Carbon_tetrachloride
MdlMolFile_15162900_0_1_8_4_426985,112,4,112,2.549177581,2.549177581,0.65201434,151.0868137,220.108,82.06645723,1.503790197,1.531361754,3.328375586,0.097930367,NA,3.328375586,7,15.4,23.8,32.2,35,35,35,35,35,35,35,0,0,0,3,0,0,0,0,0,3,82.06645723,82.06675262,82.06704801,82.06704801,82.06704801,151.0866062,220.1061644,220.1061644,220.1061644,220.1070822,220.108,0.542025,0.926728066,1.311431132,1.696134197,1.824371566,1.824376085,1.824380605,1.824383618,1.824383618,1.824383618,1.824383618,0.67753125,1.019060425,1.360589599,1.702118774,1.815964859,1.8159694,1.81597394,1.815976967,1.815976967,1.815976967,1.815976967,21.49461986,21.49461986,21.49461986,21.49469723,21.4947746,21.87828667,22.26179875,22.26189158,22.26198441,22.26198441,22.26198441,2832.077838,2394.360061,2394.358838,50.80048298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.17646482,27.57940042,27.5793179,3.664816864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-7769.814428,NBr3,15162900,0,Nitrogen_Tribromide
MdlMolFile_124414_0_1_8_4_85114,28,6,28,2.219070921,2.219070921,1.031556724,22.9330091,56.7171,3.5456,1.407219464,1.766910787,7.657764805,2.052499728,0.654588871,0.323798935,1,1,1,1,1,3.5,6,7,8,9.5,11,3,3,0,4,0,0,1,0,3,1,3.5456,3.545617605,6.93341157,7.780649603,14.34774399,18.72600578,18.95296347,33.62332,46.8741086,46.87422159,56.7171,0.569033334,0.68905,0.809066667,1.12085361,1.432640553,1.432647668,1.432654783,1.432654783,1.432654783,2.099960725,2.767266667,0.279896429,0.968946429,1.657996429,1.66815,1.678303571,2.003357371,2.328411171,2.328419866,2.328428561,2.328428561,2.328428561,1.128153243,1.128155484,2.683272581,3.072052866,3.82414532,4.325535352,4.633534788,6.057232752,6.297721553,8.340836583,10.15891445,214.2082899,64.62825138,24.59366912,-2.2728,-2.272811738,-29.13513129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.93810934,8.063730355,4.958413743,0.774369725,0.774368231,0.491008601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-277.4383422,NaOCH3,124414,0,Sodium_methoxide
MdlMolFile_108316_0_1_8_4_65892,50,9,50,2.51501534,2.51501534,0.963466228,27.75892256,71.888,5.4476,1.701046144,1.749796204,6.187030278,2.990364985,1.073445444,1.073445444,1,1,4,6,6,6,6,7.2,8,8,8,1,2,11,7,6,4,4,0,0,1,5.4476,15.35644375,16.0464,17.89131979,23.50087031,26.32586836,30.16007727,33.37609425,36.43372735,47.70242557,71.888,1.036072123,1.036072123,1.190458993,1.293383573,1.322693525,1.439933333,1.982315556,2.117911112,2.265696336,2.487374173,2.487374173,0.972516,1.108905756,1.143003195,1.255968894,1.425417443,1.425417443,2.145365037,2.325351935,2.3928321,2.494052347,2.494052347,0.734268302,2.085029165,3.098267371,3.184670345,4.049084093,4.672934567,5.741001376,6.240251858,7.026456489,9.506865224,11.67619358,230.9702259,52.57360969,40.44752506,33.01091125,25.88207445,17.53580293,15.25332772,-15.12502212,-31.5659499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2848539,7.944496075,6.964702226,6.409791737,5.201499096,4.839461399,4.670041403,0.862751905,0.822402259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-379.3094832,C4H2O3,108316,0,Maleic_Anhydride
MdlMolFile_540636_0_1_8_4_122133,50,10,50,2.722049792,2.722049792,1.133002759,27.12823497,141.7330914,3.5612,1.819321204,1.819321204,4.9043626,2.35618218,0.582169,0.582169,1,1,1,1,1,1,3,6,8,16,16,19,11,6,4,2,0,2,0,0,1,3.5612,5.308876288,6.139944208,7.733197492,10.54360461,15.14697775,22.92037027,40.71248695,43.13492489,56.17059144,141.7330914,0.763,0.763,1.380588842,1.534986052,1.534986052,1.534986052,1.806823453,2.214579554,2.381474515,3.049054362,3.049054362,0.763,0.763,1.380588842,1.534986052,1.534986052,1.534986052,1.806823453,2.214579554,2.381474515,3.049054362,3.049054362,0.327970538,0.558182442,0.753455116,1.123216893,2.905354953,3.234968771,5.807791337,6.404956214,6.967469964,8.007434987,12.60887135,538.2125059,313.1656995,52.23606343,25.78143302,-1.711466227,-2.849733773,-4.503665405,-4.802686813,-22.17376439,-40.59129281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.79736543,15.2939224,6.601308776,5.166097941,0.914517159,0.891671468,0.888822442,0.876073521,0.858724778,0.71149609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-876.2097931,CH2SHCH2SH,540636,0,"1,2-Ethanedithiol"
MdlMolFile_13597961_1_1_8_4_375135,12,2,13,1.3328,1.3328,NA,17.3264,17.3264,17.3264,0.6664,0.6664,0.44408896,0.44408896,0.44408896,0.44408896,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,0,0,0,0,0,0,0,0,0,1,17.3264,17.3264,17.3264,17.3264,17.3264,17.3264,17.3264,17.3264,17.3264,17.3264,17.3264,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.6664,0.410092308,0.461353846,0.512615385,0.563876923,0.615138462,0.6664,0.717661538,0.768923077,0.820184615,0.871446154,0.922707692,9.753901561,9.753901561,9.753901561,9.753901561,9.753901561,9.753901561,9.753901561,9.753901561,9.753901561,9.753901561,9.753901561,99.92148109,11.54042767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.34424095,-3.344240948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3LYP/6-31+G**,-114.2818455,BeF+,13597961,1,Beryllium_monofluoride_cation+
