filenames,N.electron,M.nuclei,M.protons,Nuclei.Distance.Average,Nuclei.Gaussian.Distance.Average,Nuclei.Gaussian.Standard.Deviation,Nuclei.Distance.Average.Proton.Weighted,Nuclei.Distance.Proton.Weighted.Max,Nuclei.Distance.Proton.Weighted.Min,Centroid.average.dist.from.atoms,CentroidW.average.dist.from.atoms,Centroid.dist.from.High.e,Centroid.dist.from.low.e,Centroid.dist.from.High.e2,Centroid.dist.from.low.e2,M.protonsarray.q0,M.protonsarray.q1,M.protonsarray.q2,M.protonsarray.q3,M.protonsarray.q4,M.protonsarray.q5,M.protonsarray.q6,M.protonsarray.q7,M.protonsarray.q8,M.protonsarray.q9,M.protonsarray.q10,Nuclei.Distance.10.Proton.Weighted.Normalized,Nuclei.Distance.20.Proton.Weighted.Normalized,Nuclei.Distance.30.Proton.Weighted.Normalized,Nuclei.Distance.40.Proton.Weighted.Normalized,Nuclei.Distance.50.Proton.Weighted.Normalized,Nuclei.Distance.60.Proton.Weighted.Normalized,Nuclei.Distance.70.Proton.Weighted.Normalized,Nuclei.Distance.80.Proton.Weighted.Normalized,Nuclei.Distance.90.Proton.Weighted.Normalized,Nuclei.Distance.100.Proton.Weighted.Normalized,Nuclei.Distance.Proton.Weighted.Q0,Nuclei.Distance.Proton.Weighted.Q1,Nuclei.Distance.Proton.Weighted.Q2,Nuclei.Distance.Proton.Weighted.Q3,Nuclei.Distance.Proton.Weighted.Q4,Nuclei.Distance.Proton.Weighted.Q5,Nuclei.Distance.Proton.Weighted.Q6,Nuclei.Distance.Proton.Weighted.Q7,Nuclei.Distance.Proton.Weighted.Q8,Nuclei.Distance.Proton.Weighted.Q9,Nuclei.Distance.Proton.Weighted.Q10,Centroid.average.dist.from.atoms.q0,Centroid.average.dist.from.atoms.q1,Centroid.average.dist.from.atoms.q2,Centroid.average.dist.from.atoms.q3,Centroid.average.dist.from.atoms.q4,Centroid.average.dist.from.atoms.q5,Centroid.average.dist.from.atoms.q6,Centroid.average.dist.from.atoms.q7,Centroid.average.dist.from.atoms.q8,Centroid.average.dist.from.atoms.q9,Centroid.average.dist.from.atoms.q10,CentroidW.average.dist.from.atoms.q0,CentroidW.average.dist.from.atoms.q1,CentroidW.average.dist.from.atoms.q2,CentroidW.average.dist.from.atoms.q3,CentroidW.average.dist.from.atoms.q4,CentroidW.average.dist.from.atoms.q5,CentroidW.average.dist.from.atoms.q6,CentroidW.average.dist.from.atoms.q7,CentroidW.average.dist.from.atoms.q8,CentroidW.average.dist.from.atoms.q9,CentroidW.average.dist.from.atoms.q10,ElecDenSurMxq0,ElecDenSurMxq1,ElecDenSurMxq2,ElecDenSurMxq3,ElecDenSurMxq4,ElecDenSurMxq5,ElecDenSurMxq6,ElecDenSurMxq7,ElecDenSurMxq8,ElecDenSurMxq9,ElecDenSurMxq10,ColumbMatrix.1,ColumbMatrix.2,ColumbMatrix.3,ColumbMatrix.4,ColumbMatrix.5,ColumbMatrix.6,ColumbMatrix.7,ColumbMatrix.8,ColumbMatrix.9,ColumbMatrix.10,ColumbMatrix.11,ColumbMatrix.12,ColumbMatrix.13,ColumbMatrix.14,ColumbMatrix.15,ColumbMatrix.16,ColumbMatrix.17,ColumbMatrix.18,ColumbMatrix.19,ColumbMatrix.20,ColumbMatrix.21,ColumbMatrix.22,ColumbMatrix.23,ColumbMatrix.24,ColumbMatrix.25,Elec_Den_Surg2_Mx.1,Elec_Den_Surg2_Mx.2,Elec_Den_Surg2_Mx.3,Elec_Den_Surg2_Mx.4,Elec_Den_Surg2_Mx.5,Elec_Den_Surg2_Mx.6,Elec_Den_Surg2_Mx.7,Elec_Den_Surg2_Mx.8,Elec_Den_Surg2_Mx.9,Elec_Den_Surg2_Mx.10,Elec_Den_Surg2_Mx.11,Elec_Den_Surg2_Mx.12,Elec_Den_Surg2_Mx.13,Elec_Den_Surg2_Mx.14,Elec_Den_Surg2_Mx.15,Elec_Den_Surg2_Mx.16,Elec_Den_Surg2_Mx.17,Elec_Den_Surg2_Mx.18,Elec_Den_Surg2_Mx.19,Elec_Den_Surg2_Mx.20,Elec_Den_Surg2_Mx.21,Elec_Den_Surg2_Mx.22,Elec_Den_Surg2_Mx.23,Elec_Den_Surg2_Mx.24,Elec_Den_Surg2_Mx.25,Theory.Basis.set,Energy,Chemical.Formula,CAS.number,Charge,Chemical.Name
MdlMolFile_110598_0_1_60_32_73594,46,15,46,2.991533988,2.991533988,1.319701008,18.52771453,77.97300118,3.5068,2.069620926,2.15073934,15.13226605,4.77504841,8.094747695,8.094747695,1,1,1,1,1,1,3,6,6,6,7,39,22,14,14,4,5,3,2,1,1,3.5068,5.028585177,6.133235498,7.645674624,9.522322626,15.0962254,18.29655481,19.5624854,29.44651027,41.67370328,77.97300118,0.490567202,1.181662117,1.378619096,1.694374151,1.71584671,2.185188415,2.199553741,2.523864059,2.648669115,2.997880046,3.890021343,0.40481087,1.192272658,1.286197722,1.73551994,1.824148063,2.163925956,2.219718559,2.744657307,3.161896507,3.189642505,3.781380881,0.40997772,0.646073981,0.784440982,1.13367718,1.432562303,2.167416893,2.542670054,3.221902937,3.278177727,6.405574927,11.32689142,265.3091627,32.34469539,29.13867058,25.70896243,24.6396544,16.47854248,-1.600764818,-1.700147567,-1.895978224,-1.923986065,-3.80450155,-5.903426691,-7.195849351,-30.45698778,-96.98881251,0,0,0,0,0,0,0,0,0,0,8.485866869,6.824912814,5.985726053,5.564695123,5.369154933,5.294371204,1.019191246,0.973585835,0.955764604,0.945344463,0.937675482,0.91663672,0.914222968,0.908176709,0.904674976,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-250.6969084,C5H9N,110598,0,Pentanenitrile
MdlMolFile_291645_0_1_60_32_100879,56,21,56,3.012964578,3.012964578,1.034305416,14.92501693,40.71035499,3.480755585,2.15436643,2.154366447,2.949418639,7.429714997,7.429714997,2.949418639,1,1,1,1,1,1,1,6,6,6,6,7,70,28,28,17,22,8,23,2,5,3.480755585,5.036157698,6.120317577,7.656899916,8.482774079,12.67357632,15.1368083,19.60095,24.3991323,29.11989415,40.71035499,1.589870888,1.622571662,1.717387155,1.767619048,1.941493501,1.998375549,2.223200006,2.580080108,2.6560984,2.682210371,2.725750355,1.589876706,1.622553968,1.717413799,1.767589286,1.941495736,1.998365297,2.223221777,2.580052098,2.656104389,2.682192247,2.725777037,0.383124786,0.471543856,0.531168348,0.771794167,1.028813014,1.707611804,2.090489225,2.828097628,3.272856888,4.850286924,7.84178587,291.4737737,35.01398734,33.45212837,26.3014188,25.88851781,24.59628063,24.38201894,-1.585591399,-1.615100649,-1.687101646,-1.720179333,-1.896069332,-2.047453045,-2.197516931,-2.618938653,-3.775279594,-4.322135113,-8.902071801,-43.20512418,-47.67142032,-72.85740716,0,0,0,0,7.963457094,6.095821483,6.074236015,5.655466705,5.650468332,5.511351827,5.501512157,1.079157038,1.011818152,1.008961658,0.990479021,0.966716854,0.96352054,0.955466726,0.947043563,0.945230687,0.941669817,0.936833226,0.935935506,0.933011676,0.931841925,0,0,0,0,wB97X-D/TZVP,-275.1939908,C7H14,291645,0,cycloheptane
MdlMolFile_43732838_1_1_60_32_479953,30,8,31,2.252904531,2.252904531,0.872054345,17.24311832,43.69466316,3.552971922,1.509133758,1.630601136,6.191191443,2.52719163,NA,NA,1,1,1,1,1,3.5,6.2,6.9,7,7,7,3,7,0,6,3,3,2,3,0,1,3.552971922,4.45690001,6.656284053,7.668739463,15.44470591,16.65609939,18.08869616,22.36833952,26.42326311,31.7085769,43.69466316,0.645467335,0.862843725,1.156203429,1.464399194,1.519686412,1.562598542,1.593318815,1.605934535,1.719466102,2.002229768,2.48821049,0.689460528,0.760360164,1.114928624,1.603793857,1.62193001,1.729413871,1.853727625,1.930768406,2.049469189,2.217345695,2.441532057,0.66418169,1.025643226,1.426877214,2.390229432,2.814371512,3.468642182,3.87064999,5.313672929,6.4355042,8.136857494,12.67550259,146.157073,40.81457079,34.48962043,21.90327192,-2.232186464,-2.312732825,-5.389454816,-34.49593468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.63019143,6.468702577,5.298403709,4.84478103,0.74049758,0.736403817,0.715546589,0.565473263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-204.4047599,CH3NHN2+,43732838,1,"methyl_azide,_protonated+"
MdlMolFile_79005_0_1_60_32_46953,66,8,66,2.405540511,2.405540511,0.770429446,43.49849234,147.2665156,3.543322102,1.577042707,1.628642011,4.509186226,2.306764736,NA,NA,1,1,1,1.5,5,6,8.2,15.9,17,17,17,6,4,7,4,4,0,1,1,0,1,3.543322102,7.148530948,10.53862734,15.36485593,41.05626569,42.26612361,44.10741785,51.84059381,62.57055993,76.54754281,147.2665156,0.733017688,0.771934499,1.080689367,1.519617323,1.525312549,1.548664,1.681007487,2.068174833,2.150033783,2.173621732,2.187361324,0.54816578,0.95810345,1.257909225,1.47034216,1.654131586,1.712776796,1.770737948,1.952133173,2.092876984,2.217619897,2.330061931,0.656829993,2.617968131,3.923076772,6.249929128,6.436770168,7.052909799,7.659667104,7.90099698,8.484291266,11.92254809,12.90516115,631.5896459,384.8729952,358.8046124,45.3486679,23.46228565,-2.248431516,-6.460237611,-13.77016959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.34388692,15.95390619,15.30315403,6.255367576,4.883821457,0.853484325,0.828821795,0.577557705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-1458.634229,CH2ClCHCl2,79005,0,"1,1,2-trichloroethane"
MdlMolFile_922690_0_1_60_32_158322,48,14,48,3.206607185,3.206607185,1.529011184,20.30450634,59.9352,3.2344,2.253238502,2.266822343,2.762830402,7.902263528,6.372504925,6.372504925,1,1,1,1,1,1,5,6,6,7.4,8,11,20,10,20,6,8,13,0,2,1,3.2344,4.650329709,7.373583365,10.71,14.63295286,19.57762271,20.24755169,27.24201144,34.28526485,38.03862934,59.9352,0.351278571,1.212107922,1.662176405,1.767661341,1.928381929,2.524382088,2.753753617,2.811096499,2.811096499,3.292829241,3.499286131,0.016695833,1.384859365,1.457321494,2.013545213,2.159785101,2.497534113,2.790748485,2.864052078,2.864052078,3.256154774,3.424198787,0.296779938,0.405307341,0.860154064,1.231901302,1.798692439,2.129414267,2.440987622,3.685299202,4.200055057,6.645344275,9.666069354,259.0724642,58.43818818,38.84552054,38.37371567,23.99950492,18.079026,-1.726146739,-1.878331854,-2.338897282,-2.356068146,-2.764289187,-4.887620358,-57.07232768,-65.31892806,0,0,0,0,0,0,0,0,0,0,0,9.828571172,7.640433959,6.26363765,5.788292801,5.739787541,5.294984938,1.004530386,0.978503673,0.942376739,0.916665619,0.906095612,0.903642016,0.898949448,0.893528445,0,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-307.6530445,C4H8O2,922690,0,"Ethene,_1,1-dimethoxy-"
MdlMolFile_36658545_1_1_60_32_472555,36,3,37,1.660184246,1.660184246,0.374656233,36.04823286,51.9795493,4.1856,0.952885347,0.956166291,0.439922671,1.204933628,1.204933628,0.439922671,1,1,1,1,1,1,7.8,14.6,21.4,28.2,35,1,0,0,0,0,0,0,0,0,2,4.1856,13.74438986,23.30317972,32.86196958,42.42075944,51.9795493,51.9795493,51.9795493,51.9795493,51.9795493,51.9795493,0.663266667,0.750152271,0.837037875,0.923923479,1.010809084,1.097694688,1.097694688,1.097694688,1.097694688,1.097694688,1.097694688,0.053778378,0.324494752,0.595211126,0.8659275,1.136643874,1.407360248,1.407360248,1.407360248,1.407360248,1.407360248,1.407360248,0.955657492,5.751102513,10.54654753,15.34199255,20.13743758,24.9328826,24.9328826,24.9328826,24.9328826,24.9328826,24.9328826,2541.505837,1.499800323,-2.5928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.97193378,0.348114169,-6.320047946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-2575.048491,H2Br+,36658545,1,protonated_hydrogen_bromide+
MdlMolFile_7783633_0_1_60_32_275799,58,5,58,2.417838154,2.417838154,0.572790441,52.63312894,54.32178986,51.507355,1.401852642,1.401852642,0,3.07061067,3.07061067,0,9,9,9,9,9,9,9,9,11.6,16.8,22,0,0,0,0,0,0,0,0,0,10,51.507355,51.507355,51.507355,51.507355,51.507355,51.507355,52.63312894,54.32178986,54.32178986,54.32178986,54.32178986,0,0.700926321,1.401852642,1.752315802,1.752315802,1.752315802,1.752315802,1.752315802,1.752315802,1.752315802,1.752315802,0,0.700926321,1.401852642,1.752315802,1.752315802,1.752315802,1.752315802,1.752315802,1.752315802,1.752315802,1.752315802,6.290363775,6.290363775,6.290363775,6.290363775,6.290363775,6.290363775,10.85056831,17.69087511,17.69087511,17.69087511,17.69087511,847.2792321,187.7823906,62.77942225,62.77942225,62.77942225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.62569691,8.092075921,7.427409056,7.427409056,7.427409056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-1249.169363,TiF4,7783633,0,Titanium_tetrafluoride
MdlMolFile_10599903_0_1_60_32_319334,26,4,26,1.650161587,1.650161587,0.552880063,23.71138655,41.9544,3.2708,0.985338255,1.282923111,2.167692091,1.068996281,0.160960696,0.160960696,1,1,1,1,2.2,4,5.8,8,11,14,17,1,2,0,0,0,0,0,0,0,3,3.2708,5.689666415,8.108532829,8.108532829,8.108532829,24.26077982,40.41302681,40.41302681,40.41302681,41.18371341,41.9544,0.401199072,0.59101618,0.780833287,0.970650394,1.033922763,1.033922763,1.033922763,1.077761329,1.209277027,1.340792725,1.472308422,0.627519588,0.776063818,0.924608047,1.073152277,1.2362842,1.406709969,1.577135738,1.690752918,1.690752918,1.690752918,1.690752918,1.222942399,4.557931142,7.892919884,7.892919884,7.892919884,7.955068373,8.017216862,8.017216862,8.017216862,10.87320428,13.72919169,457.8630271,52.15927987,-2.1354,-4.733813586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.06973313,5.915688701,0.592352534,-0.57777436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-516.1199036,NH2Cl,10599903,0,chloramine
MdlMolFile_1303000_0_1_60_32_164915,64,2,64,2.5467,2.5467,NA,162.9888,162.9888,162.9888,1.27335,1.27335,1.621420223,1.621420223,1.621420223,1.621420223,31,31.2,31.4,31.6,31.8,32,32.2,32.4,32.6,32.8,33,0,0,0,0,0,0,0,0,0,1,162.9888,162.9888,162.9888,162.9888,162.9888,162.9888,162.9888,162.9888,162.9888,162.9888,162.9888,1.27335,1.27335,1.27335,1.27335,1.27335,1.27335,1.27335,1.27335,1.27335,1.27335,1.27335,1.233557813,1.24151625,1.249474688,1.257433125,1.265391563,1.27335,1.281308438,1.289266875,1.297225313,1.30518375,1.313142188,25.13056112,25.13056112,25.13056112,25.13056112,25.13056112,25.13056112,25.13056112,25.13056112,25.13056112,25.13056112,25.13056112,2241.437678,1861.28219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.15044934,6.849550658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-4160.804627,GaAs,1303000,0,Gallium
MdlMolFile_107153_0_1_60_32_61938,34,12,34,2.50824519,2.50824519,0.928708803,13.3576824,53.72682406,3.264,1.727871694,1.727871694,3.68185156,2.33322185,0.58905856,0.58905856,1,1,1,1,1,1,1,4.5,6,6.9,7,14,22,8,11,4,0,6,0,0,1,3.264,4.802563174,5.193313755,6.15335327,7.660961982,8.656987975,14.36469959,16.64043771,19.38209502,27.56658572,53.72682406,0.767501505,0.843500228,1.52748874,1.52748874,1.52748874,1.723151942,1.918815145,2.194722156,2.312968018,2.312968018,2.312968018,0.767501505,0.843500228,1.52748874,1.52748874,1.52748874,1.723151942,1.918815145,2.194722156,2.312968018,2.312968018,2.312968018,0.432344932,0.645499492,0.681066075,0.815882696,1.225490196,2.528106479,2.882341283,3.411139905,3.846052678,7.106818919,8.916392436,169.5927655,40.33366009,29.37499376,25.39578082,-1.562221241,-1.691461004,-1.84243435,-3.669483405,-3.939849125,-6.118704631,-30.59747615,-30.84194509,0,0,0,0,0,0,0,0,0,0,0,0,0,8.907542104,6.859617582,5.752885279,5.240540237,0.943618866,0.926974378,0.915697928,0.914155916,0.896455748,0.887312239,0.88162029,0.873579433,0,0,0,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-190.5310928,C2H8N2,107153,0,Ethylenediamine
MdlMolFile_7782414_1_1_60_32_263227,17,2,18,1.282,1.282,NA,23.076,23.076,23.076,0.641,0.641,0.410881,0.410881,NA,NA,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,1,23.076,23.076,23.076,23.076,23.076,23.076,23.076,23.076,23.076,23.076,23.076,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,0.641,14.04056162,14.04056162,14.04056162,14.04056162,14.04056162,14.04056162,14.04056162,14.04056162,14.04056162,14.04056162,14.04056162,118.0710998,76.99509975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.76053042,-4.760530421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-198.9638965,F2+,7782414,1,flourine_diatomic_cation+
MdlMolFile_7782414_0_1_60_32_262933,18,2,18,1.377,1.377,NA,24.786,24.786,24.786,0.6885,0.6885,0.47403225,0.47403225,NA,NA,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,1,24.786,24.786,24.786,24.786,24.786,24.786,24.786,24.786,24.786,24.786,24.786,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,0.6885,13.07189542,13.07189542,13.07189542,13.07189542,13.07189542,13.07189542,13.07189542,13.07189542,13.07189542,13.07189542,13.07189542,118.9260998,76.14009975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.07189542,-4.071895425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-199.5367748,F2,7782414,0,Fluorine_diatomic
MdlMolFile_7782414_-1_1_60_32_262070,19,2,18,1.9814,1.9814,NA,35.6652,35.6652,35.6652,0.9907,0.9907,0.98148649,0.98148649,NA,NA,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,1,35.6652,35.6652,35.6652,35.6652,35.6652,35.6652,35.6652,35.6652,35.6652,35.6652,35.6652,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,0.9907,9.084485717,9.084485717,9.084485717,9.084485717,9.084485717,9.084485717,9.084485717,9.084485717,9.084485717,9.084485717,9.084485717,124.3656998,70.70049975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.08917937,-0.089179368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-199.6548447,F2-,7782414,-1,flourine_diatomic_anion-
MdlMolFile_79094_0_1_60_32_48202,40,11,40,2.581921434,2.581921434,1.034966318,17.98539894,51.97003269,3.484,1.772553509,1.840571459,3.389457726,8.574913302,2.200818819,2.200818819,1,1,1,1,1,1,6,6,6,8,8,8,12,9,7,6,4,6,2,0,1,3.484,5.036050423,6.910774431,7.859264165,14.08669593,15.22179791,19.1408159,23.19276539,28.34733553,35.51853563,51.97003269,0.600789874,1.09392381,1.483515696,1.512499747,1.512499747,1.841047997,1.964535486,1.964535486,2.229605341,2.366840126,2.928295289,0.5685825,1.008498325,1.438398756,1.763528124,1.763528124,1.798081589,1.964093541,2.313227093,2.313227093,2.425412451,2.889708454,0.378468593,0.649444422,1.06382283,2.001391495,2.426461565,3.192366863,3.279994857,3.76490543,6.018961857,6.870746932,11.65759338,203.493403,50.83108647,38.75464545,25.28916103,24.27849166,-1.704607716,-2.193584512,-2.796792284,-6.95356523,-19.22219087,-49.16834199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37291616,7.319062805,6.553675027,5.388383163,5.034492544,0.933035721,0.915683326,0.899765396,0.883149393,0.871748925,0.828087544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-268.4168765,CH3CH2COOH,79094,0,Propanoic_Acid
MdlMolFile_108907_0_1_60_32_67291,58,12,58,2.85724539,2.85724539,1.125284383,27.82798912,103.7852,4.94660131,1.982982214,2.08962219,9.41385124,6.38269696,2.08571364,2.08571364,1,1,1,1,3,6,6,6,6,6,17,15,16,21,4,2,0,2,0,4,2,4.94660131,7.576541096,9.881629973,15.01073845,16.61560772,23.62298965,23.73905344,27.83569336,33.1272,62.41102908,103.7852,1.3164,1.365197938,1.374876781,1.413592151,1.425835291,1.945036378,2.445872756,2.480703134,2.495630439,2.523323044,3.0682,0.500103448,1.220112425,1.370386378,1.971482191,2.050833709,2.169860986,2.219086463,2.257918621,2.85104134,2.998677537,3.342696552,0.404791518,0.808516106,1.814263723,2.066917206,3.252007912,3.268702138,4.321218215,5.025336334,6.466357226,8.565405946,13.12935267,575.2983856,81.18221785,26.5026857,25.71216148,25.2187271,25.19714574,21.08983741,-2.242219476,-2.763989656,-20.57134663,-24.87828852,-57.30229946,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48445088,8.769002577,5.997136089,5.94169433,5.16959599,5.158291511,4.948812586,0.937630246,0.924975385,0.903824337,0.895566808,0.869019258,0,0,0,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-691.8425841,C6H5Cl,108907,0,chlorobenzene
MdlMolFile_10507296_1_1_60_32_316781,16,6,17,1.851542894,1.851542894,0.653327419,9.135890884,16.5022,3.4568,1.198055758,1.197855144,0.40373316,2.11855108,0.401956,0.401956,1,1,1,1,1,1,1,3.5,6,6.5,7,0,0,4,2,4,0,0,0,2,3,3.4568,4.13776901,4.688822526,5.917649483,6.925232874,7.596955135,8.134561446,12.83473371,14.46916467,16.30671626,16.5022,0.634,0.6347,0.6354,1.045462166,1.455524332,1.455524332,1.455524332,1.479733636,1.503942941,1.503942941,1.503942941,0.597611765,0.6347,0.671788235,1.048541272,1.425294309,1.425294309,1.425294309,1.479432716,1.533571122,1.533571122,1.533571122,0.675944057,0.746803491,0.853092643,1.080144227,2.561390327,3.497557512,3.924763207,5.944914666,6.733494917,7.867664462,10.24105877,76.35222347,31.17500342,-1.687404745,-2.926195255,-4.508807449,-6.188006843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.459358738,4.499772592,0.67909182,0.617902355,0.543990751,0.199883744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-94.97814415,CH2NH2+,10507296,1,methyleneamine_cation+
MdlMolFile_56406_0_1_60_32_4915,40,10,40,2.469796093,2.469796093,0.951198393,18.87367491,54.83501049,3.2552,1.685740453,1.716978947,3.98998519,4.246205578,NA,0.50701601,1,1,1,1,1,3.5,6,6.3,7.2,8,8,4,11,5,9,5,3,6,1,0,1,3.2552,5.879982156,7.654347772,9.065232549,14.54270891,16.9025662,19.13957395,23.10852764,28.75107298,35.28338454,54.83501049,0.712050567,0.854923819,1.41466018,1.550625569,1.621909639,1.688005031,1.822944518,2.016436007,2.060632325,2.122422568,2.678534758,0.5500925,0.972986276,1.352702312,1.665372375,1.763724419,1.767112521,1.842909039,2.045198582,2.26377806,2.276081352,2.386810977,0.441246265,0.680274173,1.211692339,2.328748362,3.083850062,3.438259813,3.79772704,4.99320953,6.401590503,7.940656822,11.59587235,199.0323867,50.44052881,39.91738582,29.59928888,24.0740491,-1.65257236,-2.72442764,-6.535805803,-19.6330901,-35.90943613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.88388264,7.300160511,7.092777528,5.527179314,4.937536305,0.89846287,0.885598674,0.865853336,0.850839964,0.757708862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-284.4516266,H2NCH2COOH,56406,0,Glycine
MdlMolFile_1190767_0_1_60_32_163880,36,10,36,2.602410452,2.602410452,1.020454446,18.36794294,48.71601985,3.5132,1.788201938,1.886954203,7.880896702,4.465693302,1.704222224,1.704222224,1,1,1,1,1,3.5,6,6,6,6.1,7,4,11,1,12,3,6,2,4,0,2,3.5132,5.106256531,7.592098075,8.237710466,14.90016649,15.4339587,18.33090476,24.25308365,26.71286953,35.74260976,48.71601985,0.792701517,1.185344807,1.290161268,1.475006293,1.717617362,1.854252749,1.971841252,2.113218707,2.143571251,2.319212633,2.807293483,0.988791667,1.20968109,1.26432331,1.591581006,1.777459134,1.939298219,2.13392359,2.260337305,2.382149513,2.604475701,2.604475701,0.485571812,0.783352731,1.136384631,1.875253321,2.173288392,2.718016203,3.288553858,3.672899442,5.317662154,6.460831165,11.30138285,174.9668249,29.70215362,25.7590649,21.11497056,16.55666432,-1.88376845,-2.2566,-2.832162942,-9.344373421,-48.49164533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.446848476,6.675278668,5.632953131,5.074836644,4.782418461,0.916669498,0.889050651,0.873492985,0.866990959,0.841460527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-210.1463517,C4H5N,1190767,0,(Z)-2-Butenenitrile
MdlMolFile_5296628_0_1_60_32_227875,56,16,56,3.591085369,3.591085369,1.726386463,22.9159815,71.17933304,3.5184,2.563822202,2.578805542,0.404106166,10.64423469,8.698236006,8.698236006,1,1,1,1,1,1,1,6,6,6,16,20,34,20,3,11,14,5,4,4,5,3.5184,5.022896633,7.603409749,9.598157872,12.56070256,15.11429318,20.22905086,31.52761058,40.92533641,49.95794581,71.17933304,0.635693453,1.508987387,1.85264084,2.004894075,2.15717723,2.704092283,2.949277201,3.174921071,3.262555213,3.606943189,4.164135281,0.52824651,1.598144947,1.927365949,2.134618887,2.341906591,2.549530666,2.913811971,3.188503524,3.324286093,3.644801595,3.994072329,0.252783372,0.402151628,0.559999828,0.800570737,1.13500082,1.553321979,2.417084966,3.241582831,5.755260863,6.523811292,12.06662012,465.2644837,159.6682886,25.36808131,24.17130024,21.46572531,15.94323327,-1.633126587,-1.935005856,-1.949337561,-2.056315576,-2.347579375,-3.107308574,-3.226667565,-5.151950108,-12.42731147,-100.7325428,0,0,0,0,0,0,0,0,0,16.37438953,7.270827863,6.353643984,5.706989281,5.48579894,5.338810245,1.011438405,0.979168371,0.976097319,0.949338141,0.93866133,0.936424983,0.922424652,0.922412651,0.921298937,0.912275371,0,0,0,0,0,0,0,0,0,wB97X-D/TZVP,-594.7223753,C5H10S,5296628,0,3-Ethylthio-1-propene
